time_s,J1,J2,J3,J4,J5,J6
1.5458333333333334,2.8025002,0.117194586,-0.579428,4.1338e-41,-0.8741737,-2.0345552
1.55,2.8025002,0.11560594,-0.57837903,8.4077e-41,-0.8768114,-2.0345552
1.5541666666666667,2.8025002,0.11398164,-0.5773007,1.29064e-40,-0.879514,-2.0345552
1.5583333333333333,2.8025002,0.112329,-0.5761967,1.66893e-40,-0.88227063,-2.0345552
1.5625,2.8025002,0.11065513,-0.57507026,1.88164e-40,-0.8850709,-2.0345552
1.5666666666666667,2.8025002,0.10896736,-0.57392496,1.83468e-40,-0.887904,-2.0345552
1.5708333333333333,2.8025005,0.10727279,-0.57276404,1.43406e-40,-0.8907594,-2.0345552
1.575,2.8025005,0.105578765,-0.5715911,5.8574e-41,-0.89362633,-2.0345552
1.5791666666666666,2.8025005,0.10393957,-0.5704427,7.214e-41,-0.89641416,-2.0345552
1.5833333333333333,2.8025002,0.10228027,-0.5692665,8.67932e-40,-0.8992496,-2.0345552
1.5875,2.8025002,0.10055787,-0.5680343,2.248e-39,-0.9022042,-2.0345552
1.5916666666666666,2.8025002,0.0988014,-0.5667683,3.880989e-39,-0.90522665,-2.0345552
1.5958333333333332,2.8025002,0.09703972,-0.5654906,5.435707e-39,-0.9082661,-2.0345552
1.6,2.8025002,0.09530183,-0.56422323,6.580813e-39,-0.91127133,-2.0345552
1.6041666666666667,2.8025002,0.093616724,-0.56298846,6.985017e-39,-0.9141912,-2.0345552
1.6083333333333334,2.8025002,0.092013255,-0.5618082,6.317052e-39,-0.9169749,-2.0345552
1.6125,2.8025005,0.09052046,-0.5607049,4.245688e-39,-0.91957104,-2.0345552
1.6166666666666667,2.8025005,0.08916719,-0.5597004,4.39503e-40,-0.9219288,-2.0345552
1.6208333333333333,2.8025005,0.08753245,-0.5584813,4.5316867e-37,-0.9247826,-2.0345552
1.625,2.8025002,0.085890606,-0.5572481,3.8432646e-36,-0.92765766,-2.0345552
1.6291666666666667,2.8025002,0.08468169,-0.5563163,7.974689e-36,-0.92979836,-2.0345552
1.6333333333333333,2.8025002,0.0835597,-0.5554147,9.738988e-36,-0.93182206,-2.0345552
