"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
52.001,0.123999999999995,94,94,2,93,0,-1.38262812297165,-26.6940782405088,-0.00598222180457242,0.001038030815192,-0.0165480080762,
52.002,0.125,94,94,2,93,0,-1.38153953161242,-26.7307346348806,-0.00601130069941291,0.001056851191435,-0.0017757038829,
52.003,0.125999999999998,94,94,2,93.25,0,-1.38043014860327,-26.7702430281182,-0.00604097723720542,0.001084505601318,0.0149625345413,
52.004,0.126999999999995,94,94,2,93.25,0,-1.37930757028574,-26.6876330929371,-0.00607098256352856,0.001107104106688,0.0234874284371,
52.005,0.128,94,94,2,93.25,0,-1.3781772911081,-26.5110634655561,-0.00610104725302563,0.001120929983049,0.0214834880212,
52.006,0.128999999999998,94,94,2,93.25,0,-1.37705697809853,-26.453872794353,-0.00613071590660752,0.001124979069186,0.0135246279965,
52.007,0.129999999999995,94,94,2,93.25,0,-1.37596081660198,-26.4163137718657,-0.00615969303802899,0.001116057406085,0.0030908984328,
52.008,0.131,94,94,2,93.25,0,-1.37488650165106,-26.3962826329746,-0.0061880617189729,0.001096852986767,-0.0081152651947,
52.009,0.131999999999998,94,94,2,93.25,0,-1.37382780475857,-26.3028343100939,-0.00621595791463392,0.00107618349708,-0.0165591135636,
52.01,0.132999999999996,94,94,2,93.25,0,-1.37278086488486,-26.3659152977661,-0.00624352842166331,0.001059855204385,-0.0189276094787,
52.011,0.134,94,94,2,93.25,0,-1.3717341833774,-26.5444813585996,-0.0062712185885232,0.001050389469469,-0.0155718844589,
52.012,0.134999999999998,94,94,2,93.25,0,-1.37066922453679,-26.6617505767493,-0.00629954981206993,0.00105224221728,-0.0081289574316,
52.013,0.135999999999996,94,94,2,93.25,0,-1.36957549460704,-26.5772020566264,-0.00632866433002732,0.001068106967407,0.0026608036877,
52.014,0.137,94,94,2,93.25,0,-1.36845811509156,-26.3735008625022,-0.00635824734541757,0.001092193478727,0.0141276777901,
52.015,0.137999999999998,94,94,2,93.25,0,-1.36733651657275,-26.2127237979619,-0.00638773766127088,0.00111155034076,0.020201088176,
52.016,0.138999999999996,94,94,2,93.25,0,-1.36623170111316,-25.944947818586,-0.00641654996223906,0.001115297900045,0.0160929659947,
52.017,0.140000000000001,94,94,2,93.25,0,-1.3651622115899,-25.8256476134009,-0.00644423401695349,0.001099252596457,0.0024924912475,
52.018,0.140999999999998,94,94,2,93.25,0,-1.36412664349292,-25.8858533085699,-0.00647100940724954,0.001069910876275,-0.0140963697043,
52.019,0.141999999999996,94,94,2,93.25,0,-1.36311003049861,-26.0301848155337,-0.00649739866673826,0.001040057994063,-0.0255061438128,
52.02,0.143000000000001,94,94,2,93.25,0,-1.36210065215224,-26.132271898989,-0.00652372449388849,0.001020129130729,-0.0267223279396,
52.021,0.143999999999998,94,94,2,93.25,0,-1.36109709458736,-26.2195852460178,-0.00654999354503616,0.001009802506305,-0.0200253973244,
52.022,0.144999999999996,94,94,2,93.25,0,-1.36010327722068,-26.2531919796188,-0.00657606772367103,0.001002381739867,-0.0123355387012,
52.023,0.146000000000001,94,94,2,93.25,0,-1.35911681465496,-26.2187832761019,-0.0066019485433344,0.000994532985852,-0.0084209201069,
52.024,0.146999999999998,94,94,2,93.25,0,-1.35813648180283,-26.0976240202015,-0.00662759228973187,0.000986830091931,-0.0076765997137,
52.025,0.147999999999996,94,94,2,93.25,0,-1.35716396831129,-26.0147330154001,-0.00665293227487496,0.00097982595803,-0.0075370239432,
52.026,0.149000000000001,94,94,2,93.25,0,-1.35618991442275,-26.0064419686506,-0.00667826798877513,0.000975321418817,-0.0064638835006,
52.027,0.149999999999999,94,94,2,93.25,0,-1.35520706923725,-25.9450034175696,-0.00670379810276245,0.000976229158528,-0.0036307339422,
52.028,0.150999999999996,94,94,2,93.25,0,-1.35422797400708,-25.9176659197596,-0.00672918734883865,0.000979082809813,-0.000132170494,
52.029,0.152000000000001,94,94,2,93.25,0,-1.35326804781749,-25.8725488796717,-0.00675404474060315,0.000974469504595,2.97908619E-05,
52.03,0.152999999999999,94,94,2,93.25,0,-1.35233232088191,-25.8312403687297,-0.00677823505472475,0.000958417125558,-0.0058049404128,
52.031,0.153999999999996,94,94,2,93.25,0,-1.35141226169879,-25.763678722221,-0.00680197024428253,0.000938286386044,-0.0138441650344,
52.032,0.155000000000001,94,94,2,93.25,0,-1.35050084316586,-25.7539630051392,-0.00682544731100165,0.000922167313802,-0.0177037311893,
52.033,0.155999999999999,94,94,2,93.25,0,-1.34958449244504,-25.7557265179985,-0.00684904778157147,0.000915490384357,-0.0144899295845,
52.034,0.156999999999996,94,94,2,93.25,0,-1.34864982272504,-25.7008994650896,-0.00687309525667956,0.000920366764207,-0.0060435794956,
52.035,0.158000000000001,94,94,2,93.25,0,-1.34771013105772,-25.589041415943,-0.00689719362171104,0.000930680604442,0.003041625177,
52.036,0.158999999999999,94,94,2,93.25,0,-1.34678447535347,-25.5196896928847,-0.00692084816594729,0.000933974294203,0.0065765569773,
52.037,0.159999999999997,94,94,2,93.25,0,-1.3458711990937,-25.5321399812091,-0.00694416037796941,0.000926152659827,0.0020651376621,
52.038,0.161000000000001,94,94,2,93.25,0,-1.34496518614899,-25.6333942567856,-0.00696733869614263,0.000914811098596,-0.0055430151914,
52.039,0.161999999999999,94,94,2,93.25,0,-1.34406442425628,-25.6628054331994,-0.00699044152710826,0.000906616623628,-0.0093414572956,
52.04,0.162999999999997,94,94,2,93.25,0,-1.34317835710442,-25.5521438352242,-0.00701313146922189,0.000897928786055,-0.0092866096284,
