"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
54.869,0.442999999999998,99,99,2,98.75,0,12.7909457470003,-28.499780367746,1.1056542451218,-0.00524177683662,-0.026961040786,
54.87,0.444000000000003,99,99,2,98.75,0,12.7856936831628,-28.6896852341247,1.10580442648389,-0.00524702191984,-0.012175836345,
54.871,0.445,99,99,2,98.75,0,12.7804666579823,-28.7351285175088,1.10595450695762,-0.00524342411452,-0.003678557956,
54.872,0.445999999999998,99,99,2,98.75,0,12.7752911556823,-28.6851656844429,1.10610309638997,-0.00521907991345,0.007168857483,
54.873,0.447000000000003,99,99,2,98.75,0,12.770170534618,-28.7890858378364,1.10625024832147,-0.00517449479344,0.024192558027,
54.874,0.448,99,99,2,98.75,0,12.7650935444061,-28.9989076375396,1.10639694286009,-0.00512399617929,0.04028689257,
54.875,0.448999999999998,99,99,2,98.75,0,12.7600463528699,-29.1397625651264,1.10654366136217,-0.00508113986491,0.046431875977,
54.876,0.449999999999996,99,99,2,98.75,0,12.755030665977,-29.2134186276964,1.10669000200519,-0.00504667974592,0.042630145694,
54.877,0.451000000000001,99,99,2,98.75,0,12.7500637054184,-29.3427560390441,1.10683542511021,-0.0050105203856,0.037488750006,
54.878,0.451999999999998,99,99,2,98.75,0,12.7451543079158,-29.5445593912346,1.10697997572986,-0.00496430954209,0.038665032878,
54.879,0.452999999999996,99,99,2,98.75,0,12.7402889277878,-29.8023074425292,1.10712434826313,-0.00491346120702,0.044586646021,
54.88,0.454000000000001,99,99,2,98.75,0,12.735444405767,-29.9903659235638,1.10726918172453,-0.00487232790822,0.046542576721,
54.881,0.454999999999998,99,99,2,98.75,0,12.7306218828444,-30.1230141640327,1.10741413080125,-0.0048441797235,0.040152275457,
54.882,0.455999999999996,99,99,2,98.75,0,12.7258491272828,-30.2327542201687,1.10755816246586,-0.00481419244376,0.03259544745,
54.883,0.457000000000001,99,99,2,98.75,0,12.721153914922,-30.3891635058016,1.10770047885458,-0.00476442280966,0.035370257542,
54.884,0.457999999999998,99,99,2,98.75,0,12.7165595908395,-30.6407340716288,1.10784067441868,-0.00468820883755,0.051768229195,
54.885,0.458999999999996,99,99,2,98.75,0,12.7120842515308,-30.8412309234217,1.10797825074604,-0.00458889513385,0.075210590184,
54.886,0.460000000000001,99,99,2,98.75,0,12.7077311822335,-31.0026440793199,1.1081128560828,-0.00447435373742,0.096952092042,
54.887,0.460999999999999,99,99,2,98.75,0,12.7034869485182,-31.0942652813186,1.10824463298096,-0.00435709962612,0.110786903072,
54.888,0.461999999999996,99,99,2,98.75,0,12.6993395409151,-31.1345657513721,1.10837367714443,-0.00424783655624,0.114042984413,
54.889,0.463000000000001,99,99,2,98.75,0,12.6952851208954,-31.1941575675617,1.10850003055624,-0.00414855916174,0.108664679692,
54.89,0.463999999999999,99,99,2,98.75,0,12.6913198462823,-31.3422979257265,1.10862401766592,-0.00405557267274,0.100385825464,
54.891,0.464999999999996,99,99,2,98.75,0,12.6874339711778,-31.5228816176893,1.10874616078398,-0.0039681983825,0.093190101022,
54.892,0.466000000000001,99,99,2,98.75,0,12.6836154937301,-31.6365678502853,1.10886674725069,-0.00388947566004,0.086462479534,
54.893,0.466999999999999,99,99,2,98.75,0,12.6798521899216,-31.7281646890657,1.10898597762034,-0.00382214465298,0.077900678174,
54.894,0.467999999999996,99,99,2,98.75,0,12.6761438324919,-31.8493150211624,1.10910386162996,-0.00376337198662,0.06818101947,
54.895,0.469000000000001,99,99,2,98.75,0,12.6724988694416,-32.0190367513285,1.10922026052111,-0.00370582302952,0.060973055792,
54.896,0.469999999999999,99,99,2,98.75,0,12.6689390481062,-32.260354848128,1.10933467209594,-0.00363843884965,0.060866636709,
54.897,0.470999999999997,99,99,2,98.75,0,12.6654879593483,-32.5064524923057,1.10944643009628,-0.00355274407662,0.069926790987,
54.898,0.472000000000001,99,99,2,98.75,0,12.6621591211073,-32.6788646305902,1.10955492578448,-0.00344703337608,0.086206373335,
54.899,0.472999999999999,99,99,2,98.75,0,12.6589675321879,-32.971481213185,1.10965969024265,-0.00332433859959,0.104801145072,
54.9,0.473999999999997,99,99,2,98.75,0,12.6559180278792,-33.3901353767135,1.10976087526051,-0.00319013833267,0.121051200834,
54.901,0.475000000000001,99,99,2,98.75,0,12.6530106880428,-33.5750230293866,1.10985822049685,-0.00304948035022,0.13268593445,
54.902,0.475999999999999,99,99,2,98.75,0,12.6502405129802,-33.6097242736224,1.10995127725263,-0.00290883974595,0.138715454337,
54.903,0.476999999999997,99,99,2,98.75,0,12.6475795848102,-33.6992062406825,1.11004082936728,-0.00277855042696,0.13754043214,
54.904,0.478000000000002,99,99,2,98.75,0,12.6450068807083,-33.8526526069886,1.11012772483946,-0.00266723501735,0.12770253176,
54.905,0.478999999999999,99,99,2,98.75,0,12.6425190351955,-33.8689190522373,1.11021196524355,-0.0025737137456,0.111669341066,
54.906,0.479999999999997,99,99,2,98.75,0,12.6401178861622,-33.8892415226215,1.11029331396443,-0.00248729414568,0.096729011559,
54.907,0.481000000000002,99,99,2,98.75,0,12.637811275618,-33.9255143893584,1.11037152507996,-0.00239879643042,0.089173536071,
54.908,0.481999999999999,99,99,2,98.75,0,12.6356168181099,-33.9877079505789,1.11044604142029,-0.0023013261801,0.090566041176,
54.909,0.482999999999997,99,99,2,98.75,0,12.6335488569906,-34.048055546059,1.11051638907711,-0.00219015450229,0.098888918049,
54.91,0.484000000000002,99,99,2,98.75,0,12.6316146834552,-34.0483782746808,1.11058224423718,-0.00206577376077,0.111023968676,
54.911,0.484999999999999,99,99,2,98.75,0,12.6298094263553,-34.1050161752431,1.11064376143679,-0.00193563487992,0.122145464206,
54.912,0.485999999999997,99,99,2,98.75,0,12.62812564934,-34.1799049432937,1.11070124972713,-0.00180748800517,0.127813837221,
54.913,0.487000000000002,99,99,2,98.75,0,12.6265534602171,-34.253488824149,1.11075504484579,-0.00168674467296,0.126523413818,
54.914,0.488,99,99,2,98.75,0,12.6250866538189,-34.2853835471573,1.11080531147405,-0.00157405067321,0.120549595234,
54.915,0.488999999999997,99,99,2,98.75,0,12.6237185187556,-34.3300687023029,1.11085224907711,-0.00146881981514,0.112869856984,
54.916,0.490000000000002,99,99,2,98.75,0,12.6224385866661,-34.2467598776996,1.11089613591886,-0.00137127557163,0.105163816206,
54.917,0.491,99,99,2,98.75,0,12.6212353163381,-34.1540329863009,1.11093728824109,-0.00128339445319,0.096951290357,
54.918,0.491999999999997,99,99,2,98.75,0,12.620097706113,-34.1414906917623,1.11097613508412,-0.00120657082558,0.087462808712,
54.919,0.493000000000002,99,99,2,98.75,0,12.6190222649517,-34.2087978388864,1.11101288844095,-0.00113865753683,0.077467773201,
54.92,0.494,99,99,2,98.75,0,12.6180112731073,-34.2890073727889,1.11104751380216,-0.00107475708537,0.069382539221,
54.921,0.494999999999997,99,99,2,98.75,0,12.6170651424757,-34.3137685585389,1.11107996739602,-0.00101086827563,0.065100810131,
54.922,0.496000000000002,99,99,2,98.75,0,12.6161851378788,-34.3944423705272,1.11111019916676,-0.00094575118503,0.064260786514,
54.923,0.497,99,99,2,98.75,0,12.6153740466251,-34.4804299489582,1.11113813107002,-0.00087916840435,0.065188313366,
54.924,0.497999999999998,99,99,2,98.75,0,12.614637958999,-34.4788685178949,1.11116351111318,-0.00080926416838,0.067139510243,
54.925,0.499000000000002,99,99,2,98.75,0,12.6139885613168,-34.4253762039032,1.11118588424159,-0.00073258173121,0.070941259743,
54.926,0.5,99,99,2,98.75,0,12.6134329237325,-34.3988273460342,1.11120500489869,-0.000647276636,0.077235774222,
54.927,0.500999999999998,99,99,2,99,0,12.6129725620635,-34.404474713975,1.11122084210018,-0.00055518283908,0.084754908311,
