phase,displacement_m,measured_force_n,simulated_force_n
2.459999999999999964e-01,4.211616238796667475e-05,6.701570756993159961e+00,1.101218934056976462e+00
2.479999999999999982e-01,4.099238672351868329e-05,6.689002331171732152e+00,1.060247564313635982e+00
2.500000000000000000e-01,3.986801257200500638e-05,6.621600489420213620e+00,1.020564913747661562e+00
2.520000000000000018e-01,3.874055287559663473e-05,6.498400180516046731e+00,9.822251343706862592e-01
2.540000000000000036e-01,3.761642185069868764e-05,6.444155876265227789e+00,9.441157841662285444e-01
2.560000000000000053e-01,3.651636191595519982e-05,6.348561380929211850e+00,9.074299502353438962e-01
2.580000000000000071e-01,3.546186835060760367e-05,6.289127999384010792e+00,8.724430441838115780e-01
2.600000000000000089e-01,3.445097201544333786e-05,6.353966129885936454e+00,8.394658684713289798e-01
2.620000000000000107e-01,3.346144945336515427e-05,6.408496446522530476e+00,8.073782610876345522e-01
2.640000000000000124e-01,3.247072442668796791e-05,6.397981679330644766e+00,7.758391690237634863e-01
2.660000000000000142e-01,3.147774230367872666e-05,6.313426077897464239e+00,7.447588682158176043e-01
2.680000000000000160e-01,3.049338011344504752e-05,6.365792290535132736e+00,7.138782834989940707e-01
2.700000000000000178e-01,2.951320985181315928e-05,6.425231978712336200e+00,6.824847459776148817e-01
2.720000000000000195e-01,2.852957344856843684e-05,6.505025554837054358e+00,6.509948205931216370e-01
2.740000000000000213e-01,2.754188035571014786e-05,6.520261140334792316e+00,6.198512506468045746e-01
2.760000000000000231e-01,2.655645684641316841e-05,6.443395637414614185e+00,5.880469179136272873e-01
2.780000000000000249e-01,2.558031729372478794e-05,6.371521996943776855e+00,5.562730860693042567e-01
2.800000000000000266e-01,2.461352052494514416e-05,6.367967260888146797e+00,5.247136831266470125e-01
2.820000000000000284e-01,2.365329634780311064e-05,6.393496411236778698e+00,4.926786041242499636e-01
2.840000000000000302e-01,2.269971593393460747e-05,6.330152659717743546e+00,4.607202351076036817e-01
2.860000000000000320e-01,2.174698042880018954e-05,6.308954817595196829e+00,4.286964857560917608e-01
2.880000000000000338e-01,2.078209269260322870e-05,6.333335584784414607e+00,3.962353730184018930e-01
2.899999999999999800e-01,1.980278266223978100e-05,6.342173589668053779e+00,3.633273839932703031e-01
2.919999999999999818e-01,1.883234345785078835e-05,6.260321277932920481e+00,3.306654000264976356e-01
2.939999999999999836e-01,1.788976691476817953e-05,6.281632179873280819e+00,2.988513863069761078e-01
2.959999999999999853e-01,1.696878726842476843e-05,6.384355154014453859e+00,2.680843472465412325e-01
2.979999999999999871e-01,1.605290483436094915e-05,6.447394190677272263e+00,2.404190957531868733e-01
2.999999999999999889e-01,1.513428655052306890e-05,6.380997914123394565e+00,2.142377346739899047e-01
3.019999999999999907e-01,1.421337544751488732e-05,6.326721274762729053e+00,1.881328761563406671e-01
3.039999999999999925e-01,1.328798212996096264e-05,6.278097783303302037e+00,1.629506933675527458e-01
3.059999999999999942e-01,1.236025949903840595e-05,6.251311065506680364e+00,1.385358166681667502e-01
3.079999999999999960e-01,1.143797133450474947e-05,6.241896131794053559e+00,1.160668113816178404e-01
3.099999999999999978e-01,1.052583007850604981e-05,6.239470119974395601e+00,9.582975804702466294e-02
3.119999999999999996e-01,9.617167985313645527e-06,6.222089934957981683e+00,7.802224427366959147e-02
3.140000000000000013e-01,8.696200656114871756e-06,6.231281865310915435e+00,6.051966205141987715e-02
3.160000000000000031e-01,7.750119109671160420e-06,6.219911483281556741e+00,4.258057877321475004e-02
3.180000000000000049e-01,6.786079807844070281e-06,6.167620657010520091e+00,2.472137950276053972e-02
3.200000000000000067e-01,5.820546233744839168e-06,6.079470782810314944e+00,1.183050535572822796e-02
3.220000000000000084e-01,4.865939312745925755e-06,5.971301462581372732e+00,5.065474025691731226e-03
3.240000000000000102e-01,3.926050155229177589e-06,5.916550568961802981e+00,1.925158251407404391e-03
3.260000000000000120e-01,3.003016391529556254e-06,5.804112657136347053e+00,2.787915283891716309e-05
3.280000000000000138e-01,2.117699277190965155e-06,5.666490085198656601e+00,0.000000000000000000e+00
3.300000000000000155e-01,1.309213145919363455e-06,5.482679350523952166e+00,0.000000000000000000e+00
3.320000000000000173e-01,6.349509049954349741e-07,5.247618509263016762e+00,0.000000000000000000e+00
3.340000000000000191e-01,1.690581276054814531e-07,4.972082558405272579e+00,0.000000000000000000e+00
3.360000000000000209e-01,0.000000000000000000e+00,4.754235873648216426e+00,0.000000000000000000e+00
3.380000000000000226e-01,1.941056292102949431e-07,4.842241199723826384e+00,0.000000000000000000e+00
3.400000000000000244e-01,7.645959566642268248e-07,4.903974979751822616e+00,0.000000000000000000e+00
3.420000000000000262e-01,1.757877932201168344e-06,4.582137204500281058e+00,0.000000000000000000e+00
3.440000000000000280e-01,3.355050279470362077e-06,3.849761770583921106e+00,1.832284930145900402e-03
3.460000000000000298e-01,5.860498697365823239e-06,3.060092271569278211e+00,2.585750751606119210e-02
3.480000000000000315e-01,9.630810067424500266e-06,2.470424592924469920e+00,1.119775101635540615e-01
3.500000000000000333e-01,1.501448770422930734e-05,1.834763193758949029e+00,2.944835126561157757e-01
3.519999999999999796e-01,2.236724744609386255e-05,1.202933626028478642e+00,6.101483011438176840e-01
3.539999999999999813e-01,3.205149162500498319e-05,6.467757026688261135e-01,1.054606070543321117e+00
3.559999999999999831e-01,4.441401510715325892e-05,2.574331085179615286e-01,1.611737995181102390e+00
3.579999999999999849e-01,5.980718616344837737e-05,3.190709851562445465e-02,2.322493352932846200e+00
3.599999999999999867e-01,7.859747508383341816e-05,0.000000000000000000e+00,3.211331605963493985e+00
3.619999999999999885e-01,1.011372828620649112e-04,2.548291277879961569e-01,4.224772663177718712e+00
3.639999999999999902e-01,1.277517403579056011e-04,7.177804130667304605e-01,5.412097358776332356e+00
3.659999999999999920e-01,1.587617293321565918e-04,1.395397073709940372e+00,6.796259155359666515e+00
3.679999999999999938e-01,1.944902786243947316e-04,2.242037139184528627e+00,8.422890548804691235e+00
3.699999999999999956e-01,2.352707241235267816e-04,3.409603730636153074e+00,1.023328704845225801e+01
3.719999999999999973e-01,2.814392400269767288e-04,4.989337292170109350e+00,1.223875949871954560e+01
3.739999999999999991e-01,3.333148116116180552e-04,6.940795282592535642e+00,1.444184215559269902e+01
3.760000000000000009e-01,3.911922814118571463e-04,9.315006623526919327e+00,1.691613719954521144e+01
3.780000000000000027e-01,4.553460286117543237e-04,1.222035139610995813e+01,1.968735198990463786e+01
3.800000000000000044e-01,5.260282464635703632e-04,1.556905349327692178e+01,2.254186553970756890e+01
3.820000000000000062e-01,6.034799263668151528e-04,1.946821726575201339e+01,2.552106094377623791e+01
3.840000000000000080e-01,6.879592398801058278e-04,2.397577121813219136e+01,2.886702369710562976e+01
3.860000000000000098e-01,7.797387460373168648e-04,2.910835050297596283e+01,3.277465423607667105e+01
3.880000000000000115e-01,8.790824736827614148e-04,3.498452615665793530e+01,3.723919418361674616e+01
3.900000000000000133e-01,9.862170955740770344e-04,4.180201898892705970e+01,4.209611892730060134e+01
3.920000000000000151e-01,1.101327615639975882e-03,4.956494833564791236e+01,4.772969604525957976e+01
3.940000000000000169e-01,1.224578756570004600e-03,5.816021019787309854e+01,5.385033172643540667e+01
3.960000000000000187e-01,1.356123511132718059e-03,6.765851206978216226e+01,6.069436462445233360e+01
3.980000000000000204e-01,1.496109510145834237e-03,7.836889341632313233e+01,6.830663421677411407e+01
4.000000000000000222e-01,1.644629848779056037e-03,9.054844207974282710e+01,7.645932006886332033e+01
4.020000000000000240e-01,1.801672640720455680e-03,1.041004122568215280e+02,8.537647186331027171e+01
4.040000000000000258e-01,1.967179018877601195e-03,1.188310142219759058e+02,9.516086700498613027e+01
4.060000000000000275e-01,2.141094253668673810e-03,1.347061359828644242e+02,1.057604748541265565e+02
4.080000000000000293e-01,2.323348771546127154e-03,1.519813522242584440e+02,1.176564068611048413e+02
4.100000000000000311e-01,2.513838180669679314e-03,1.708379964541525737e+02,1.309191253669430637e+02
4.120000000000000329e-01,2.712423923176712857e-03,1.912772255154731056e+02,1.432003247077427091e+02
4.140000000000000346e-01,2.918940287164404745e-03,2.133162742551786550e+02,1.567691650398705008e+02
4.160000000000000364e-01,3.133155426571562242e-03,2.367240832366359768e+02,1.704978369148931563e+02
4.179999999999999827e-01,3.354754802397677538e-03,2.613992945598190545e+02,1.856880804452868006e+02
4.199999999999999845e-01,3.583384896093918474e-03,2.867752170409160044e+02,2.024560882578353187e+02
4.219999999999999862e-01,3.818718059232228089e-03,3.125006245772253237e+02,2.204946728526793152e+02
4.239999999999999880e-01,4.060453624664962444e-03,3.383015722290891176e+02,2.406384918224729290e+02
4.259999999999999898e-01,4.308299647421970011e-03,3.643726145902801932e+02,2.620999029554029107e+02
4.279999999999999916e-01,4.561956626026805739e-03,3.906384509291290783e+02,2.855893725600006974e+02
4.299999999999999933e-01,4.821142789832802075e-03,4.171440892100123392e+02,3.116523010269212364e+02
4.319999999999999951e-01,5.085607469053432181e-03,4.437763647515470780e+02,3.374606909194890818e+02
4.339999999999999969e-01,5.355133046151261400e-03,4.703338124936430518e+02,3.652878979508311090e+02
4.359999999999999987e-01,5.629561191335055378e-03,4.971096247494782006e+02,3.936755627458287563e+02
4.380000000000000004e-01,5.908758456804468449e-03,5.244430409728867062e+02,4.238750927752402049e+02
4.400000000000000022e-01,6.192585459983954155e-03,5.515854402036762849e+02,4.557078186055061906e+02
4.420000000000000040e-01,6.480876530969219111e-03,5.784969665343675160e+02,4.896856665058523959e+02
4.440000000000000058e-01,6.773437454772972960e-03,6.056450908045043207e+02,5.234775805684769239e+02
4.460000000000000075e-01,7.070030514756329293e-03,6.331311044066682143e+02,5.601766040061127114e+02
4.480000000000000093e-01,7.370346417232555639e-03,6.609707424329685637e+02,5.983833691428850443e+02
4.500000000000000111e-01,7.674072977294710100e-03,6.890237469744243981e+02,6.373898925803940756e+02
4.520000000000000129e-01,7.980905812082076875e-03,7.175711866167381459e+02,6.757220459006649662e+02
4.540000000000000147e-01,8.290505867104598289e-03,7.465841135880205002e+02,7.157637524437525371e+02
4.560000000000000164e-01,8.602472828568906091e-03,7.759704813855952352e+02,7.552993408226490146e+02
4.580000000000000182e-01,8.916340269099192611e-03,8.056174459349688277e+02,7.949094995140554829e+02
4.600000000000000200e-01,9.231645670324474875e-03,8.352971740347488776e+02,8.350048950219240851e+02
