phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
4.040000000000000258e-01,2.020448888888888850e-01,3.524832097022105723e-04,3.524832097022105870e-01,2.828043229640585920e+01,1.254452312229611444e+01,-2.828043229640585920e+01,2.140855135684718857e-02,2.344354043876467012e-03
4.060000000000000275e-01,2.030451111111110929e-01,3.759014634172839217e-04,3.759014634172839209e-01,2.793185719609584794e+01,1.252110486858104110e+01,-2.793185719609584794e+01,2.563831134359212394e-02,3.002500583362934742e-03
4.080000000000000293e-01,2.040453333333333286e-01,4.037712271944364755e-04,4.037712271944364772e-01,2.776047255324074214e+01,1.249323510480388855e+01,-2.776047255324074214e+01,3.030767997930641777e-02,3.778552171731180617e-03
4.100000000000000311e-01,2.050455555555555642e-01,4.365302934558883564e-04,4.365302934558883408e-01,2.774756313120474260e+01,1.246047603854243668e+01,-2.774756313120474260e+01,3.540845053285829325e-02,4.687779903174669159e-03
4.120000000000000329e-01,2.060457777777777721e-01,4.746038653492785984e-04,4.746038653492786197e-01,2.786967095464287070e+01,1.242240246664904646e+01,-2.786967095464287070e+01,4.093032292072029676e-02,5.746656249793701508e-03
4.140000000000000346e-01,2.070460000000000078e-01,5.184091305519604670e-04,5.184091305519604731e-01,2.817151757979733162e+01,1.237859720144636455e+01,-2.817151757979733162e+01,4.686670103327353343e-02,6.974296801878267400e-03
4.160000000000000364e-01,2.080462222222222157e-01,5.683580970607291730e-04,5.683580970607291505e-01,2.870669837498870081e+01,1.232864823493759587e+01,-2.870669837498870081e+01,5.320489183442705938e-02,8.395079210071784356e-03
4.179999999999999827e-01,2.090464444444444236e-01,6.248425608394061852e-04,6.248425608394061470e-01,2.949191490096960067e+01,1.227216377115891888e+01,-2.949191490096960067e+01,5.991940136388074212e-02,1.003913031041181458e-02
4.199999999999999845e-01,2.100466666666666316e-01,6.882235306335395637e-04,6.882235306335395819e-01,3.049632389100467833e+01,1.220878280136478544e+01,-3.049632389100467833e+01,6.698061786097553316e-02,1.194070476013673297e-02
4.219999999999999862e-01,2.110468888888888672e-01,7.588335657248510696e-04,7.588335657248510557e-01,3.176065710408978759e+01,1.213817276627347397e+01,-3.176065710408978759e+01,7.436456671054675338e-02,1.413931744595816470e-02
4.239999999999999880e-01,2.120471111111110751e-01,8.369857149731707796e-04,8.369857149731707580e-01,3.328896216559352439e+01,1.206002061702515427e+01,-3.328896216559352439e+01,8.206309286542518011e-02,1.668192437383458904e-02
4.259999999999999898e-01,2.130473333333333108e-01,9.229962239414195909e-04,9.229962239414195579e-01,3.499005782640361417e+01,1.197401010805690547e+01,-3.499005782640361417e+01,9.009033519152992442e-02,1.961904473188651882e-02
4.279999999999999916e-01,2.140475555555555187e-01,1.017206425505204305e-03,1.017206425505204237e+00,3.684663459706875699e+01,1.187979990649312079e+01,-3.684663459706875699e+01,9.846943522133694282e-02,2.300367870788413982e-02
4.299999999999999933e-01,2.150477777777777544e-01,1.119978858577525254e-03,1.119978858577525216e+00,3.886391803010190671e+01,1.177702747342079981e+01,-3.886391803010190671e+01,1.072164303793350371e-01,2.689496853936855850e-02
4.319999999999999951e-01,2.160479999999999901e-01,1.231686938010712572e-03,1.231686938010712495e+00,4.109385777237496740e+01,1.166531939398761253e+01,-4.109385777237496740e+01,1.163306873075162784e-01,3.136189100656317646e-02
4.339999999999999969e-01,2.170482222222221980e-01,1.352691935720249814e-03,1.352691935720249816e+00,4.363799582533129495e+01,1.154431439627807521e+01,-4.363799582533129495e+01,1.257929051936562681e-01,3.648952752758165274e-02
4.359999999999999987e-01,2.180484444444444336e-01,1.483328656355889031e-03,1.483328656355888953e+00,4.647796093429166575e+01,1.141367767564243607e+01,-4.647796093429166575e+01,1.355796001301936560e-01,4.237710500446831285e-02
4.380000000000000004e-01,2.190486666666666415e-01,1.623911393580694746e-03,1.623911393580694806e+00,4.957463889051546602e+01,1.127309493841763022e+01,-4.957463889051546602e+01,1.456663075269580832e-01,4.913031623017611454e-02
4.400000000000000022e-01,2.200488888888888772e-01,1.774726011990928557e-03,1.774726011990928498e+00,5.294083778006707774e+01,1.112228032000739653e+01,-5.294083778006707774e+01,1.560362278708268269e-01,5.686247934605555970e-02
4.420000000000000040e-01,2.210491111111110851e-01,1.936053198756956936e-03,1.936053198756956917e+00,5.669751066591992128e+01,1.096095313324136811e+01,-5.669751066591992128e+01,1.666796282599908308e-01,6.570830419375929543e-02
4.440000000000000058e-01,2.220493333333333208e-01,2.108159348345692644e-03,2.108159348345692852e+00,6.090757669640247940e+01,1.078884698365263262e+01,-6.090757669640247940e+01,1.775665282411067469e-01,7.583090084114851859e-02
4.460000000000000075e-01,2.230495555555555287e-01,2.291265173696166186e-03,2.291265173696166002e+00,6.547220754371637952e+01,1.060574115830215902e+01,-6.547220754371637952e+01,1.886493185361177716e-01,8.740399579106707117e-02
4.480000000000000093e-01,2.240497777777777644e-01,2.485541829559499618e-03,2.485541829559499760e+00,7.032302340778720406e+01,1.041146450243882526e+01,-7.032302340778720406e+01,1.998852216635256251e-01,1.005978596927889768e-01
4.500000000000000111e-01,2.250499999999999723e-01,2.691124454899512190e-03,2.691124454899512131e+00,7.557422412288461544e+01,1.020588187709881289e+01,-7.557422412288461544e+01,2.112426559978557439e-01,1.155980363184422877e-01
4.520000000000000129e-01,2.260502222222222080e-01,2.908121027180099374e-03,2.908121027180099460e+00,8.133204884386866240e+01,9.988885304818225563e+00,-8.133204884386866240e+01,2.226855945557697503e-01,1.326256173277420292e-01
4.540000000000000147e-01,2.270504444444444159e-01,3.136594615386409293e-03,3.136594615386409490e+00,8.758735065142253973e+01,9.760411716611915978e+00,-8.758735065142253973e+01,2.341615448315985670e-01,1.519262718479706120e-01
4.560000000000000164e-01,2.280506666666666515e-01,3.376548188640999572e-03,3.376548188640999371e+00,9.436838079854607031e+01,9.520458143357325653e+00,-9.436838079854607031e+01,2.456142028385375209e-01,1.737608558206834297e-01
4.580000000000000182e-01,2.290508888888888872e-01,3.627932182931419090e-03,3.627932182931419280e+00,1.016882484145596095e+02,9.269074149066906187e+00,-1.016882484145596095e+02,2.569889671571972123e-01,1.984079648508659810e-01
4.600000000000000200e-01,2.300511111111110951e-01,3.890640340274129950e-03,3.890640340274130082e+00,1.094874916837615331e+02,9.006365991724194942e+00,-1.094874916837615331e+02,2.682334913778332552e-01,2.261513534262848402e-01
4.620000000000000218e-01,2.310513333333333308e-01,4.164518380572142242e-03,4.164518380572141965e+00,1.176326377977155886e+02,8.732487951426183059e+00,-1.176326377977155886e+02,2.793086497376844335e-01,2.572577489371907777e-01
4.640000000000000235e-01,2.320515555555555387e-01,4.449381776927159408e-03,4.449381776927159748e+00,1.260995773570199532e+02,8.447624555071165275e+00,-1.260995773570199532e+02,2.901976349878108152e-01,2.919778558921253819e-01
4.660000000000000253e-01,2.330517777777777744e-01,4.745042627274425641e-03,4.745042627274425939e+00,1.348325599828704924e+02,8.151963704723899085e+00,-1.348325599828704924e+02,3.009321781714584532e-01,3.305565191150774407e-01
4.680000000000000271e-01,2.340519999999999823e-01,5.051379880904818646e-03,5.051379880904818265e+00,1.438832107090675549e+02,7.845626451093506759e+00,-1.438832107090675549e+02,3.116065463439272598e-01,3.732520812717332048e-01
4.700000000000000289e-01,2.350522222222222180e-01,5.368394211760655309e-03,5.368394211760655566e+00,1.528439207895996788e+02,7.528612120237669458e+00,-1.528439207895996788e+02,3.223313160912844033e-01,4.202908893856196482e-01
4.720000000000000306e-01,2.360524444444444259e-01,5.696185771450094221e-03,5.696185771450093860e+00,1.620660419283107956e+02,7.200820560548231164e+00,-1.620660419283107956e+02,3.331992091082973673e-01,4.719092741449524842e-01
4.740000000000000324e-01,2.370526666666666615e-01,6.034940718514631396e-03,6.034940718514631541e+00,1.720671849550348611e+02,6.862065613483693483e+00,-1.720671849550348611e+02,3.442384210244324727e-01,5.285103090812124371e-01
4.760000000000000342e-01,2.380528888888888694e-01,6.384815608352747800e-03,6.384815608352747418e+00,1.824629124629680348e+02,6.512190723645577606e+00,-1.824629124629680348e+02,3.553317335659920140e-01,5.905376375596051997e-01
4.780000000000000360e-01,2.390531111111111051e-01,6.745762110861534128e-03,6.745762110861534211e+00,1.934234216916819946e+02,6.151244221136790813e+00,-1.934234216916819946e+02,3.662727295178305198e-01,6.583819250191322858e-01
4.799999999999999822e-01,2.400533333333333130e-01,7.117523855268193672e-03,7.117523855268193422e+00,2.049653042626551098e+02,5.779482476730131602e+00,-2.049653042626551098e+02,3.768915643870260901e-01,7.324413474902932153e-01
