phase,time_s,displacement_m,displacement_mm,force_n,position_mm_raw,force_n_raw,velocity_m_s,cycle_energy_j
8.000000000000000167e-02,4.000888888888894795e-02,1.590013744008560528e-04,1.590013744008560437e-01,2.941354236690361645e+01,-1.496873783104527567e+00,-2.941354236690361645e+01,-1.878878768855105075e-03,-2.677573640221326406e-03
8.200000000000000344e-02,4.100911111111116975e-02,1.571299629125917500e-04,1.571299629125917363e-01,2.936197957001229497e+01,-1.495002371616263259e+00,-2.936197957001229497e+01,-1.861393607678896167e-03,-2.732576758402880876e-03
8.400000000000000522e-02,4.200933333333339847e-02,1.552777598994503551e-04,1.552777598994503627e-01,2.933044142942410204e+01,-1.493150168603121886e+00,-2.933044142942410204e+01,-1.841336418566832944e-03,-2.786934307284558501e-03
8.600000000000000699e-02,4.300955555555562027e-02,1.534464717037165135e-04,1.534464717037165027e-01,2.927233182392625821e+01,-1.491318880407388026e+00,-2.927233182392625821e+01,-1.821960572222322550e-03,-2.840594672089342618e-03
8.799999999999999489e-02,4.400977777777784206e-02,1.516330289947514002e-04,1.516330289947513954e-01,2.919673494636742106e+01,-1.489505437698422918e+00,-2.919673494636742106e+01,-1.807804056237316548e-03,-2.893609471105618603e-03
8.999999999999999667e-02,4.501000000000006385e-02,1.498300601227724497e-04,1.498300601227724460e-01,2.912428546374063032e+01,-1.487702468826443969e+00,-2.912428546374063032e+01,-1.799934034245512238e-03,-2.946182075578720680e-03
9.199999999999999845e-02,4.601022222222228564e-02,1.480323609555784777e-04,1.480323609555784792e-01,2.908930559865878251e+01,-1.485904769659250002e+00,-2.908930559865878251e+01,-1.794350508612777007e-03,-2.998502954035768466e-03
9.400000000000000022e-02,4.701044444444451437e-02,1.462405616164319446e-04,1.462405616164319522e-01,2.905784439301774924e+01,-1.484112970320103475e+00,-2.905784439301774924e+01,-1.786402008127574437e-03,-3.050590453580416875e-03
9.600000000000000200e-02,4.801066666666673616e-02,1.444587629828752897e-04,1.444587629828752995e-01,2.906353391766694827e+01,-1.482331171686546822e+00,-2.906353391766694827e+01,-1.774094582860999414e-03,-3.102362622810620786e-03
9.800000000000000377e-02,4.901088888888896489e-02,1.426915839642286642e-04,1.426915839642286521e-01,2.906131172697399023e+01,-1.480563992667900175e+00,-2.906131172697399023e+01,-1.757451255271103019e-03,-3.153715937245223349e-03
1.000000000000000056e-01,5.001111111111118668e-02,1.409430793828863140e-04,1.409430793828863049e-01,2.899337931923585998e+01,-1.478815488086557828e+00,-2.899337931923585998e+01,-1.738192859078085961e-03,-3.204470151024324618e-03
1.020000000000000073e-01,5.101133333333340847e-02,1.392144257159129059e-04,1.392144257159129150e-01,2.891329979511757031e+01,-1.477086834419584438e+00,-2.891329979511757031e+01,-1.719756260378318968e-03,-3.254520672101782544e-03
1.040000000000000091e-01,5.201155555555563720e-02,1.375028025260138906e-04,1.375028025260138786e-01,2.883528108873235141e+01,-1.475375211229685402e+00,-2.883528108873235141e+01,-1.703254204437121277e-03,-3.303941623370317080e-03
1.059999999999999970e-01,5.301177777777785205e-02,1.358071603051700402e-04,1.358071603051700382e-01,2.876929336035503582e+01,-1.473679569008841561e+00,-2.876929336035503582e+01,-1.687846275603172019e-03,-3.352779428533444149e-03
1.079999999999999988e-01,5.401200000000008078e-02,1.341263598209072646e-04,1.341263598209072594e-01,2.868994800972406267e+01,-1.471998768524578782e+00,-2.868994800972406267e+01,-1.672805884990150038e-03,-3.401068299159587440e-03
1.100000000000000006e-01,5.501222222222230257e-02,1.324608050659075093e-04,1.324608050659075165e-01,2.864634351223324060e+01,-1.470333213769579039e+00,-2.864634351223324060e+01,-1.656120912170988557e-03,-3.448817435640150978e-03
1.120000000000000023e-01,5.601244444444452436e-02,1.308133819428265374e-04,1.308133819428265454e-01,2.862658628687364626e+01,-1.468685790646498068e+00,-2.862658628687364626e+01,-1.640326960202012629e-03,-3.495995686493548211e-03
1.140000000000000041e-01,5.701266666666675309e-02,1.291794221112989489e-04,1.291794221112989582e-01,2.862151864263487155e+01,-1.467051830814970481e+00,-2.862151864263487155e+01,-1.632171387531911044e-03,-3.542768055662030065e-03
1.160000000000000059e-01,5.801288888888897488e-02,1.275483137582571474e-04,1.275483137582571480e-01,2.859507682076245416e+01,-1.465420722461928671e+00,-2.859507682076245416e+01,-1.631814725318453396e-03,-3.589431679187430387e-03
1.180000000000000077e-01,5.901311111111120361e-02,1.259150674096729667e-04,1.259150674096729539e-01,2.853351674505384139e+01,-1.463787476113344477e+00,-2.853351674505384139e+01,-1.632135173725908495e-03,-3.636081799625380875e-03
1.199999999999999956e-01,6.001333333333341846e-02,1.242833180173947964e-04,1.242833180173947977e-01,2.848617533910635302e+01,-1.462155726721066307e+00,-2.848617533910635302e+01,-1.628016710272413292e-03,-3.682597817716468883e-03
1.219999999999999973e-01,6.101355555555564025e-02,1.226583104261458248e-04,1.226583104261458196e-01,2.842955291181982247e+01,-1.460530719129817356e+00,-2.842955291181982247e+01,-1.620458949901940060e-03,-3.728835314873319481e-03
1.239999999999999991e-01,6.201377777777786898e-02,1.210416799136131448e-04,1.210416799136131427e-01,2.836664794070415496e+01,-1.458914088617284666e+00,-2.836664794070415496e+01,-1.611804215594460354e-03,-3.774736493187707577e-03
1.260000000000000009e-01,6.301400000000009771e-02,1.194339856375277242e-04,1.194339856375277176e-01,2.831423656603148942e+01,-1.457306394341199240e+00,-2.831423656603148942e+01,-1.599472590464313948e-03,-3.820291226382960519e-03
1.280000000000000027e-01,6.401422222222231950e-02,1.178420238559776462e-04,1.178420238559776401e-01,2.825566609914908156e+01,-1.455714432559649163e+00,-2.825566609914908156e+01,-1.578517918690833244e-03,-3.865312404709458308e-03
1.300000000000000044e-01,6.501444444444454129e-02,1.162762482366266306e-04,1.162762482366266337e-01,2.821197301106444755e+01,-1.454148656940298157e+00,-2.821197301106444755e+01,-1.551344482255051505e-03,-3.909515178579029727e-03
1.320000000000000062e-01,6.601466666666676308e-02,1.147386454050309851e-04,1.147386454050309812e-01,2.817600573054117774e+01,-1.452611054108702504e+00,-2.817600573054117774e+01,-1.526690269985024606e-03,-3.952865761253357944e-03
1.340000000000000080e-01,6.701488888888898487e-02,1.132221891676477000e-04,1.132221891676477021e-01,2.814913478959049087e+01,-1.451094597871319225e+00,-2.814913478959049087e+01,-1.509603171982565328e-03,-3.995576404315616392e-03
1.360000000000000098e-01,6.801511111111122054e-02,1.117187681263227507e-04,1.117187681263227539e-01,2.815570824515733150e+01,-1.449591176829994277e+00,-2.815570824515733150e+01,-1.498758026534777188e-03,-4.037908644918173327e-03
1.380000000000000115e-01,6.901533333333344233e-02,1.102240069998996499e-04,1.102240069998996486e-01,2.814507248924264005e+01,-1.448096415703571171e+00,-2.814507248924264005e+01,-1.488974150383536033e-03,-4.079994679068817652e-03
1.400000000000000133e-01,7.001555555555566412e-02,1.087401580592666222e-04,1.087401580592666228e-01,2.806250335996608669e+01,-1.446612566762938146e+00,-2.806250335996608669e+01,-1.475939316920547861e-03,-4.121701882093703820e-03
1.420000000000000151e-01,7.101577777777788592e-02,1.072714723930288114e-04,1.072714723930288105e-01,2.799282240451069725e+01,-1.445143881096700333e+00,-2.799282240451069725e+01,-1.460634735079860413e-03,-4.162870603972886399e-03
1.440000000000000169e-01,7.201600000000010771e-02,1.058182394181135310e-04,1.058182394181135244e-01,2.799378851582449457e+01,-1.443690648121785047e+00,-2.799378851582449457e+01,-1.447187902832984541e-03,-4.203557871860169257e-03
1.459999999999999909e-01,7.301622222222232950e-02,1.043764533927393729e-04,1.043764533927393767e-01,2.796528851569942375e+01,-1.442248862096410900e+00,-2.796528851569942375e+01,-1.437250975997846070e-03,-4.243907036018839708e-03
1.479999999999999927e-01,7.401644444444455129e-02,1.029430986879062968e-04,1.029430986879062981e-01,2.788267050148987636e+01,-1.440815507391577821e+00,-2.788267050148987636e+01,-1.429417910804357816e-03,-4.283940928386281884e-03
1.499999999999999944e-01,7.501666666666677308e-02,1.015169822742814128e-04,1.015169822742814087e-01,2.784226301612176968e+01,-1.439389390977952932e+00,-2.784226301612176968e+01,-1.420968489441495897e-03,-4.323682712850634123e-03
1.519999999999999962e-01,7.601688888888899487e-02,1.001005301674724442e-04,1.001005301674724457e-01,2.785040037145593317e+01,-1.437972938871143969e+00,-2.785040037145593317e+01,-1.410415334471740167e-03,-4.363129495708291568e-03
1.539999999999999980e-01,7.701711111111121666e-02,9.869552475407816544e-05,9.869552475407816772e-02,2.787160760899234191e+01,-1.436567933457749691e+00,-2.787160760899234191e+01,-1.399088389346506145e-03,-4.402275380271897937e-03
