phase,displacement_m,measured_force_n,simulated_force_n
4.000000000000000222e-01,3.179498515218117630e-04,9.167704638891766677e+00,1.009678363803106116e+01
4.020000000000000240e-01,3.339660696649176001e-04,8.613894517525977790e+00,1.063585365298525609e+01
4.040000000000000258e-01,3.535791147577960094e-04,8.147312486326324432e+00,1.129427768711144076e+01
4.060000000000000275e-01,3.772237153827671203e-04,7.816612342031358907e+00,1.208629547123861592e+01
4.080000000000000293e-01,4.053422947251626197e-04,7.672388520415889701e+00,1.302613296514461005e+01
4.100000000000000311e-01,4.383696749827237162e-04,7.659483457426031094e+00,1.413433265692830609e+01
4.120000000000000329e-01,4.767313804284754376e-04,7.845450612319165629e+00,1.542895877846113173e+01
4.140000000000000346e-01,5.208504950758694081e-04,8.183317990482887438e+00,1.692175132760770850e+01
4.160000000000000364e-01,5.711442710605076903e-04,8.693949189164666080e+00,1.863212944041459806e+01
4.179999999999999827e-01,6.279977654694839529e-04,9.519517284842113014e+00,2.056870208752441087e+01
4.199999999999999845e-01,6.917634200395212556e-04,1.061760722639208154e+01,2.275037002577277789e+01
4.219999999999999862e-01,7.627779462677448984e-04,1.191294895845287627e+01,2.518563995376783282e+01
4.239999999999999880e-01,8.413674829354427041e-04,1.345951809740950367e+01,2.788318534868269793e+01
4.259999999999999898e-01,9.278527748520275448e-04,1.514637902137821257e+01,3.086517875688721446e+01
4.279999999999999916e-01,1.022570713320689615e-03,1.695052050623955964e+01,3.413971633930260197e+01
4.299999999999999933e-01,1.125879120064901366e-03,1.895549778851496470e+01,3.771172943136269140e+01
4.319999999999999951e-01,1.238147252943441788e-03,2.121554624156437185e+01,4.158999359153863651e+01
4.339999999999999969e-01,1.359731839548576583e-03,2.369966916743866037e+01,4.578594207788729875e+01
4.359999999999999987e-01,1.490967778500063836e-03,2.642810521549862912e+01,5.031062194851409686e+01
4.380000000000000004e-01,1.632169398740963145e-03,2.953490396112046668e+01,5.517446060210068737e+01
4.400000000000000022e-01,1.783620170348138240e-03,3.309570323862270413e+01,6.038703460725046313e+01
4.420000000000000040e-01,1.945588315311226829e-03,3.695327738021788377e+01,6.595731079135588004e+01
4.440000000000000058e-01,2.118327611969789224e-03,4.110889274346016009e+01,7.189370544470018842e+01
4.460000000000000075e-01,2.302061475109866157e-03,4.566690369753111156e+01,7.820386444130670611e+01
4.480000000000000093e-01,2.496967297626390657e-03,5.060550158191686876e+01,8.489391052287454897e+01
4.500000000000000111e-01,2.703188324249669681e-03,5.594382477633772055e+01,9.196884155317320619e+01
4.520000000000000129e-01,2.920833644070700702e-03,6.175523330706650427e+01,9.946572814985508160e+01
4.540000000000000147e-01,3.149945661650708096e-03,6.809501245791990698e+01,1.073534686283961292e+02
4.560000000000000164e-01,3.390493259162863111e-03,7.489248972076457278e+01,1.156312744145543263e+02
4.580000000000000182e-01,3.642405220485525272e-03,8.210298608334075254e+01,1.242972070317671296e+02
4.600000000000000200e-01,3.905581843613424326e-03,8.980976112753678819e+01,1.333484527593313089e+02
4.620000000000000218e-01,4.179893904787231745e-03,9.793726389413842526e+01,1.427814874273249757e+02
4.640000000000000235e-01,4.465177248516164973e-03,1.064687969882744909e+02,1.525916839605527286e+02
4.660000000000000253e-01,4.761255667359676896e-03,1.153287072374617281e+02,1.627749096685849679e+02
4.680000000000000271e-01,5.068035659149361209e-03,1.247949123363213602e+02,1.733292761236876345e+02
4.700000000000000289e-01,5.385527166449767360e-03,1.343491679828805445e+02,1.842567474371890057e+02
4.720000000000000306e-01,5.713792331762682086e-03,1.432536386095766545e+02,1.955613690192456318e+02
4.740000000000000324e-01,6.053003041475709528e-03,1.526805323227528959e+02,2.072511962897793865e+02
4.760000000000000342e-01,6.403300799855232185e-03,1.635228731595500733e+02,2.193503222663447616e+02
4.780000000000000360e-01,6.764602371069522099e-03,1.746022755183757624e+02,2.318591601569958698e+02
4.799999999999999822e-01,7.136645734773317332e-03,1.860494906924895702e+02,2.447561340339744334e+02
4.819999999999999840e-01,7.519059018032448610e-03,1.976549942923398930e+02,2.580328698738433673e+02
4.839999999999999858e-01,7.911388351424224891e-03,2.088503547205471591e+02,2.716789343269927599e+02
4.859999999999999876e-01,8.313083066108855126e-03,2.223340070189513540e+02,2.856811010750631112e+02
4.879999999999999893e-01,8.723504627707146658e-03,2.377044525288418413e+02,3.000243945321167303e+02
4.899999999999999911e-01,9.141977400852834348e-03,2.537551929559305108e+02,3.146931152352630079e+02
4.919999999999999929e-01,9.567806072676397766e-03,2.689635677805579235e+02,3.296716406259081964e+02
4.939999999999999947e-01,1.000025950533707172e-02,2.843195552668786377e+02,3.449444848642085049e+02
4.959999999999999964e-01,1.043861658378045926e-02,3.004335374341331431e+02,3.604969897470390379e+02
4.979999999999999982e-01,1.088214887965901004e-02,3.176521689048968824e+02,3.763158496103374659e+02
5.000000000000000000e-01,1.133015539440013035e-02,3.345917586467818978e+02,3.923895263681665142e+02
5.020000000000000018e-01,1.178196548719683684e-02,3.514121335634598609e+02,4.087219848642653233e+02
5.040000000000000036e-01,1.223685986913410247e-02,3.690122459523181533e+02,4.252888415537345850e+02
5.060000000000000053e-01,1.269412726743220782e-02,3.876811558716281638e+02,4.420840405283596510e+02
5.080000000000000071e-01,1.315313532106982160e-02,4.081416717774871472e+02,4.591060620127502148e+02
5.100000000000000089e-01,1.361311359052226611e-02,4.302473794170300607e+02,4.763497802744838054e+02
5.120000000000000107e-01,1.407294177720373740e-02,4.517749273986132721e+02,4.938010693369973296e+02
5.140000000000000124e-01,1.453127652650501762e-02,4.729804025477897653e+02,5.114407080088844282e+02
5.160000000000000142e-01,1.498683250940682082e-02,4.950250244610198251e+02,5.292540625010832400e+02
5.180000000000000160e-01,1.543862614221975377e-02,5.183049497256806717e+02,5.472388281260947451e+02
5.200000000000000178e-01,1.588595049160741041e-02,5.424982024465588211e+02,5.654070434581385598e+02
5.220000000000000195e-01,1.632813585954149410e-02,5.672694709067275198e+02,5.837768286144022341e+02
5.240000000000000213e-01,1.676443063699437075e-02,5.926486892753906659e+02,6.023697314464480996e+02
5.260000000000000231e-01,1.719390418873703585e-02,6.190931924487076685e+02,6.211975439464658848e+02
5.280000000000000249e-01,1.761552621607037974e-02,6.467487919419794480e+02,6.402743139660146880e+02
5.300000000000000266e-01,1.802823273634424420e-02,6.751281445664503735e+02,6.596292602550961419e+02
5.320000000000000284e-01,1.843096218230993316e-02,7.042320494748141755e+02,6.792888452160541419e+02
5.340000000000000302e-01,1.882266690125234190e-02,7.342710649919079060e+02,6.992855712902952519e+02
5.360000000000000320e-01,1.920229573320152497e-02,7.655604872815426916e+02,7.196525146496943535e+02
5.380000000000000338e-01,1.956874436766100483e-02,7.978263714084408775e+02,7.404222363294076104e+02
5.400000000000000355e-01,1.992086157583034325e-02,8.304440031553401695e+02,7.616223144544343313e+02
5.420000000000000373e-01,2.025750047684613322e-02,8.629849794292827028e+02,7.832742211927425160e+02
5.440000000000000391e-01,2.057761412990935165e-02,8.953648442512505881e+02,8.053906713880812731e+02
5.460000000000000409e-01,2.088020174573633828e-02,9.277909245399555402e+02,8.279676147474795016e+02
5.480000000000000426e-01,2.116417924699151229e-02,9.600754667764529131e+02,8.509651586928079041e+02
5.500000000000000444e-01,2.142838778755216250e-02,9.919641475038464478e+02,8.742856445326558514e+02
5.520000000000000462e-01,2.167171805351316913e-02,1.022975205176412146e+03,8.976156030288116199e+02
5.540000000000000480e-01,2.189311489486082951e-02,1.052562465648928310e+03,9.207918701186391672e+02
5.560000000000000497e-01,2.209147377276568167e-02,1.080440276605497502e+03,9.434239233412486101e+02
5.580000000000000515e-01,2.226567799837553610e-02,1.106209585203012693e+03,9.649793505872542028e+02
5.600000000000000533e-01,2.241472969518197578e-02,1.129027597872953493e+03,9.847931640636779775e+02
5.620000000000000551e-01,2.253783895171383028e-02,1.148163942434224509e+03,1.002097026368169395e+03
5.640000000000000568e-01,2.263434760006902829e-02,1.163175314680426254e+03,1.016063251953851477e+03
